"ID_REF"	"GSM1847063"	"GSM1847064"	"GSM1847065"	"GSM1847066"	"GSM1847067"	"GSM1847068"	"GSM1847069"	"GSM1847070"
"ILMN_2985228"	4.436092	-2.548444	-8.082577	-0.4411232	-3.873432	-7.427553	3.231626	-0.4402601
"ILMN_2985240"	812.0804	902.5788	759.2361	832.3382	908.5693	932.0595	886.4917	831.8568
"ILMN_2985249"	2.614456	2.068598	3.004671	6.432291	1.287675	-3.458168	2.103176	4.750857
"ILMN_2985282"	500.1458	475.9562	446.0493	392.4123	441.6201	451.7792	460.1751	347.1592
"ILMN_2985305"	331.0349	333.1787	354.8791	352.7455	440.7344	448.3492	433.1115	396.4812
"ILMN_2985381"	0.1633137	10.52275	5.111256	2.520106	3.973152	6.918771	7.469968	10.93505
"ILMN_2985389"	-6.140502	-0.2391798	0.677677	-4.917891	-1.936032	3.821335	14.48456	11.32325
"ILMN_2985411"	1.167624	6.305395	11.02821	8.465115	17.83568	5.930434	0.8205965	5.345495
"ILMN_2985428"	-0.6471655	-6.704999	-0.7891065	0.6746204	-1.494008	-3.055577	1.221722	-3.137824
"ILMN_2985447"	22.51427	16.543	24.33089	29.37179	45.21264	29.43955	39.10098	30.93631
"ILMN_2985484"	2.400581	5.651743	4.665564	8.915753	11.14337	3.518442	5.647848	5.074414
"ILMN_2985497"	506.3966	447.7064	519.5896	554.7029	453.4464	462.5842	489.4662	414.9607
"ILMN_2985548"	0.084606	-10.77087	-3.984308	-0.2814943	-2.471561	-0.3921883	-4.325715	-5.891839
"ILMN_2985568"	6.142182	16.44287	5.769191	8.041929	5.6533	4.981451	7.507113	5.377616
"ILMN_2985579"	136.4055	137.88	138.6674	140.9433	136.6295	151.4479	158.5455	141.7011
"ILMN_2985602"	8.136547	11.78573	12.83496	1.083443	1.848952	4.633717	0.8559988	0.0923136
"ILMN_2985612"	4.215519	3.715916	-1.479582	1.393963	2.808511	5.35923	1.736712	10.62205
"ILMN_2985657"	83.18387	85.89251	64.57287	124.277	48.13418	40.83327	51.2093	37.0215
"ILMN_2985732"	3.049603	-6.863472	0.3544396	1.675312	6.37663	0.6574982	-1.29762	-3.249213
"ILMN_2985761"	3.307872	7.641707	6.526143	0.8721331	3.939605	-2.379655	3.560664	1.308005
"ILMN_2985788"	0.05776483	0.8158682	-1.522537	-0.7910902	0.5070522	-0.8388168	7.405766	5.119876
"ILMN_2985836"	19.59081	13.43737	18.38198	20.83475	-3.943525	6.999191	-6.082569	1.278532
"ILMN_2985913"	-4.791186	-2.549649	-2.202779	-1.012703	-1.024162	1.250484	1.786165	-1.024162
"ILMN_2985969"	251.3694	203.5602	193.9257	238.7867	303.868	301.3762	283.4452	269.5862
"ILMN_2985987"	-9.745441	-7.232428	-6.586703	-1.831987	-13.21027	-8.71247	-1.535681	-3.370864
"ILMN_2986051"	71.85532	67.54478	86.64767	60.01585	76.55508	86.3672	83.24863	91.05016
"ILMN_2986059"	-2.992769	-1.147331	0.4780415	-5.425513	4.453702	0.4185417	4.745709	-5.438661
"ILMN_2986122"	-7.335407	-4.305767	-1.82522	-5.464492	-4.370659	-0.7087595	6.932672	-1.782292
"ILMN_2986131"	35.09325	40.47063	40.93803	36.67829	42.75745	53.79839	52.64282	50.98974
"ILMN_2986172"	42.72189	56.58525	51.63101	36.69244	40.83327	37.742	28.49934	36.348
"ILMN_2986203"	-9.34268	-6.819659	-5.176149	-4.791186	-8.391512	-1.269455	0.7148255	-8.412527
"ILMN_2986309"	1903.456	2034.173	1906.642	2146.752	2150.076	1975.301	1958.007	1991.274
"ILMN_2986315"	2397.063	2756.708	2625.547	2496.148	2015.727	1845.441	2423.82	2601.347
"ILMN_2986364"	2.264413	1.139304	2.945881	-0.1112148	-0.249078	-1.356848	-1.474422	-0.6441395
"ILMN_2986393"	8733.222	9289.179	8828.971	8522.009	9946.449	9289.179	9289.179	9289.179
"ILMN_2986458"	261.6449	232.8714	231.6028	237.5806	181.0712	174.9701	206.2313	164.636
"ILMN_2986549"	14.12753	20.78809	10.53001	17.89391	22.22804	25.12839	23.02778	24.46495
"ILMN_2986586"	1.017046	1.056275	1.239829	3.596215	-2.327882	-2.33794	11.90902	-1.36857
"ILMN_2986605"	40.29285	26.09974	41.88321	32.54668	37.4194	33.63404	40.57816	38.50089
"ILMN_2986899"	764.7578	781.4428	814.0212	703.6794	684.6442	652.3932	729.5089	644.5668
"ILMN_2986948"	1.320182	-1.31012	-0.9007599	-0.732979	-1.721306	-2.585764	-5.891839	2.660801
"ILMN_2986978"	12.26865	4.968993	8.883832	7.674918	-0.2826893	8.140203	4.644775	14.71467
"ILMN_2987015"	6.656981	8.609888	12.88947	13.38888	11.03945	6.035918	14.33081	9.436227
"ILMN_2987027"	82.28618	80.75777	78.60954	108.85	78.09434	77.02389	68.47061	83.0964
"ILMN_2987044"	-12.43636	0.3094147	-8.373914	-1.311614	-10.49146	-11.59546	0.6708429	-7.346969
"ILMN_2987062"	1137.459	1182.261	1217.685	1080.09	1374.617	1288.241	1309.983	1488.614
"ILMN_2987102"	6.548439	11.49052	15.86111	-2.055434	4.935561	5.354795	5.51008	8.541471
"ILMN_2987107"	564.486	443.8136	527.9305	457.8895	505.7988	530.7196	471.9522	541.8318
"ILMN_2987161"	47.81759	29.41541	42.42527	55.0107	59.3448	60.89273	54.73938	44.8566
"ILMN_2987197"	1.479646	6.223493	3.470282	1.562429	13.33494	4.004316	6.092447	8.30212
"ILMN_2987207"	10.01754	6.948416	9.003345	-2.721744	9.149031	7.780406	1.069414	4.688404
"ILMN_2987294"	251.5928	285.0989	251.3694	202.842	274.8583	320.9897	259.5985	258.8628
"ILMN_2987339"	1175.302	1176.853	1288.241	1265.174	1415.573	1362.112	1447.339	1525.344
"ILMN_2987369"	15.30247	9.218988	6.160267	5.30678	1.899862	7.345633	14.77288	6.114028
"ILMN_2987394"	-4.149549	-6.131621	-1.641381	3.449171	-0.8072187	-3.845029	2.815755	3.059957
"ILMN_2987404"	20.96516	8.174037	14.44192	6.149839	20.9714	12.79024	10.96909	16.04591
"ILMN_2987487"	-5.36248	3.460582	-1.136967	4.538296	-3.488343	2.670479	0.7725981	-0.849333
"ILMN_2987535"	-4.825069	1.463528	-11.05906	-1.303538	3.659213	-2.08573	-3.9308	-5.401572
"ILMN_2987564"	457.8895	561.5228	509.7907	489.2468	330.8915	316.6816	363.54	370.5768
"ILMN_2987599"	9.654482	10.9796	9.603655	11.91755	8.756367	13.79624	12.65022	12.42639
"ILMN_2987615"	17.65854	9.480624	21.67127	6.757219	16.08249	19.44868	42.41076	14.9414
"ILMN_2987637"	-0.002242263	2.570017	-2.901775	-1.008237	8.745315	-2.309203	1.591856	-1.134438
"ILMN_2987649"	3.48211	0.9174574	4.278323	0.3395661	0.3550442	2.340364	-4.243591	-3.357314
"ILMN_2987657"	0.194557	2.796317	2.082938	-5.573008	-1.764551	0.006182496	2.915236	0.3059853
"ILMN_2987678"	0.6808079	5.02856	-2.76204	2.595758	-3.417057	7.707389	1.049034	2.631701
"ILMN_2987685"	329.0956	273.285	386.4542	369.7372	298.2604	326.627	297.4513	312.4726
"ILMN_2987709"	2592.676	2790.178	2808.481	2346.234	2421.127	2550.772	2468.494	2277.892
"ILMN_2987729"	-7.946762	-2.680146	1.064052	1.301354	-1.056001	-4.762218	-2.323087	-1.763028
"ILMN_2987747"	1.989844	-2.220977	1.033223	7.355169	0.9965218	3.293031	1.516583	3.192944
"ILMN_2987826"	-4.126362	5.466773	1.001463	1.948354	3.145596	1.906174	-0.1495964	7.925175
"ILMN_2987834"	3.465072	-9.214523	7.652519	11.55556	2.468591	3.539447	-7.351145	-6.17948
"ILMN_2987844"	1544.018	1556.116	1421.486	1637.989	1450.735	1326.794	1422.46	1605.742
"ILMN_2987854"	26.01491	24.07176	16.94934	25.55329	28.09999	25.09148	38.35627	17.1664
"ILMN_2987862"	121.966	163.0652	150.1086	162.8702	87.08774	106.0018	113.969	109.0068
"ILMN_2987863"	128.8137	135.5517	179.738	175.5753	119.4694	113.623	154.4087	167.4564
"ILMN_2987878"	33.75072	25.11733	46.26445	36.89581	37.77361	37.27241	34.54351	33.60621
"ILMN_2987890"	0.5379074	-0.3153021	3.107292	-4.590644	4.183614	-0.4731171	2.531089	-1.4206
"ILMN_2987937"	120.9371	128.2746	125.5312	121.1622	118.8299	114.2725	107.1194	85.14049
"ILMN_2987965"	4.639151	7.67734	4.758362	-5.357053	9.139944	18.28653	8.655558	8.028533
"ILMN_2987967"	4.702822	-0.4002354	9.694231	10.73824	11.73411	6.234604	0.713311	0.7761381
"ILMN_2987984"	1072.106	857.8381	1109.12	1091.889	1097.978	968.562	1060.63	934.1747
"ILMN_2987995"	353.839	295.7418	352.9103	310.9822	348.6254	414.9607	438.8207	372.8006
"ILMN_2988070"	2.14404	4.644775	-6.644288	-3.325447	-5.636055	-6.050533	3.8106	-0.1588852
"ILMN_2988143"	1231.458	1525.344	1240.412	2062.963	1064.094	773.2924	717.6523	771.4282
"ILMN_2988178"	1.04967	8.649331	1.934158	9.606288	3.515588	0.0461157	-5.278762	2.33907
